id,child_id,child_first_name,child_last_name,start,end,type,method,amount,notes,tags
827,1,JOJO,,2022-10-04 11:47:00,2022-10-04 11:48:00,formula,bottle,120.0,,
826,1,JOJO,,2022-10-04 07:22:00,2022-10-04 07:25:00,formula,bottle,120.0,,
825,1,JOJO,,2022-10-04 05:43:00,2022-10-04 05:45:00,formula,bottle,30.0,,
824,1,JOJO,,2022-10-03 22:50:00,2022-10-03 23:01:00,formula,bottle,150.0,,
823,1,JOJO,,2022-10-03 18:50:00,2022-10-03 18:51:00,formula,bottle,60.0,,
822,1,JOJO,,2022-10-03 14:08:00,2022-10-03 14:21:00,formula,bottle,150.0,,
821,1,JOJO,,2022-10-03 10:03:00,2022-10-03 10:25:00,formula,bottle,120.0,,
820,1,JOJO,,2022-10-03 06:00:00,2022-10-03 06:03:00,formula,bottle,150.0,,
819,1,JOJO,,2022-10-03 00:45:00,2022-10-03 01:10:00,formula,bottle,150.0,,
818,1,JOJO,,2022-10-02 21:26:00,2022-10-02 21:35:00,formula,bottle,110.0,,
817,1,JOJO,,2022-10-02 17:08:00,2022-10-02 17:41:00,formula,bottle,165.0,,
816,1,JOJO,,2022-10-02 12:55:00,2022-10-02 13:08:00,formula,bottle,150.0,,
815,1,JOJO,,2022-10-02 07:15:00,2022-10-02 07:50:00,formula,bottle,150.0,,
814,1,JOJO,,2022-10-02 03:50:00,2022-10-02 04:20:00,formula,bottle,100.0,,
813,1,JOJO,,2022-10-02 02:33:00,2022-10-02 02:55:00,breast milk,both breasts,,,
812,1,JOJO,,2022-10-01 22:02:00,2022-10-01 22:42:00,formula,bottle,150.0,,
811,1,JOJO,,2022-10-01 16:00:00,2022-10-01 16:00:00,breast milk,bottle,150.0,,
810,1,JOJO,,2022-10-01 11:42:00,2022-10-01 12:00:00,breast milk,bottle,150.0,,
809,1,JOJO,,2022-10-01 07:15:00,2022-10-01 09:53:00,breast milk,bottle,100.0,,
808,1,JOJO,,2022-10-01 04:18:00,2022-10-01 04:44:00,formula,bottle,80.0,,
807,1,JOJO,,2022-09-30 23:14:00,2022-09-30 23:27:00,formula,bottle,150.0,,
806,1,JOJO,,2022-09-30 17:00:00,2022-09-30 18:15:00,formula,bottle,90.0,,
805,1,JOJO,,2022-09-30 13:00:00,2022-09-30 13:39:00,formula,bottle,140.0,,
804,1,JOJO,,2022-09-30 07:21:00,2022-09-30 08:00:00,formula,bottle,130.0,,
803,1,JOJO,,2022-09-30 03:46:00,2022-09-30 03:59:00,formula,bottle,110.0,,
802,1,JOJO,,2022-09-30 00:15:00,2022-09-30 00:35:00,formula,bottle,100.0,,
801,1,JOJO,,2022-09-29 19:40:00,2022-09-29 19:50:00,formula,bottle,120.0,,
800,1,JOJO,,2022-09-29 15:46:00,2022-09-29 16:02:00,breast milk,bottle,150.0,,
799,1,JOJO,,2022-09-29 11:49:00,2022-09-29 11:49:00,formula,bottle,150.0,,
798,1,JOJO,,2022-09-29 07:25:00,2022-09-29 07:25:00,formula,bottle,150.0,,
797,1,JOJO,,2022-09-29 02:34:00,2022-09-29 02:34:00,formula,bottle,120.0,,
796,1,JOJO,,2022-09-28 21:47:00,2022-09-28 21:47:00,formula,bottle,150.0,,
